date,close,sp500,nasdaq100,DoeJonesIA,USDtoCNY,USDtoEUR,USDtoJPY,AnalogDevice,Jabil,Microsoft,Nidec,Qualcomm,TSMC,CPI,USA MSCI,will5000
2017-10-19T00:00:00.000Z,155.98,2562.100098,6092.620117,23163.03906,6.6151,0.8438,112.55,88.800003,27.85,77.910004,31.389999,52.290001,41.07,2.041129,2172.7,118.35
2017-10-20T00:00:00.000Z,156.25,2575.209961,6108.819824,23328.63086,6.6205,0.8485,113.52,88.93,27.959999,78.809998,31.530001,52.02,41.119999,2.041129,2172.7,118.96
2017-10-23T00:00:00.000Z,156.17,2564.97998,6067.830078,23273.96094,6.64,0.8511,113.44,88.769997,28.02,78.830002,32.68,53.389999,41.209999,2.041129,2172.7,118.41
2017-10-24T00:00:00.000Z,157.1,2569.129883,6080.220215,23441.75977,6.6358,0.8502,113.9,90.290001,28.309999,78.860001,32.759998,54.25,41.32,2.041129,2172.7,118.6
2017-10-25T00:00:00.000Z,156.41,2557.149902,6055.040039,23329.46094,6.6391,0.8466,113.75,89.860001,28.309999,78.629997,32.529999,53.84,41.16,2.041129,2172.7,118
2017-10-26T00:00:00.000Z,157.41,2560.399902,6037.870117,23400.85938,6.6426,0.8583,113.98,90.559998,27.92,78.760002,32.18,53.799999,41.200001,2.041129,2172.7,118.2
2017-10-27T00:00:00.000Z,163.05,2581.070068,6213.470215,23434.18945,6.6514,0.8613,113.69,91.209999,28.440001,83.809998,32.419998,54.57,42.150002,2.041129,2172.7,119.18
2017-10-30T00:00:00.000Z,166.72,2572.830078,6227.589844,23348.74023,6.6465,0.8582,113.19,91.32,27.9,83.889999,32.509998,54.66,42.130001,2.041129,2172.7,118.68
2017-10-31T00:00:00.000Z,169.04,2575.26001,6248.560059,23377.24023,6.6349,0.8587,113.64,91.300003,28.280001,83.18,33.27,51.009998,42.330002,2.041129,2172.7,118.95
2017-11-01T00:00:00.000Z,166.89,2579.360107,6248.649902,23435.00977,6.6029,0.8607,114.17,90.989998,28.42,83.18,34.200001,53.459999,42.099998,2.202583,2233.1,119.04
2017-11-02T00:00:00.000Z,168.11,2579.850098,6236.390137,23516.25977,6.6089,0.8578,114.09,90.790001,28.49,84.050003,33.869999,54.84,42.150002,2.202583,2233.1,119.08
2017-11-03T00:00:00.000Z,172.5,2587.840088,6295.580078,23539.18945,6.639,0.8614,114.08,91.809998,28.02,84.139999,33.959999,61.810001,42.189999,2.202583,2233.1,119.41
2017-11-06T00:00:00.000Z,174.25,2591.129883,6313.609863,23548.41992,6.6338,0.8613,113.7,92.279999,28.459999,84.470001,33.84,62.52,42.43,2.202583,2233.1,119.59
